GEOID,NAME,ST,variable,value
0815302,Coal Creek,Colorado,P001001,2400
0815330,Coal Creek,Colorado,P001001,343
0815440,Coaldale,Colorado,P001001,255
0815550,Cokedale,Colorado,P001001,129
0815605,Collbran,Colorado,P001001,708
0815825,Colona,Colorado,P001001,30
0815935,Colorado City,Colorado,P001001,2193
0816000,Colorado Springs,Colorado,P001001,416427
0816110,Columbine,Colorado,P001001,24280
0816385,Columbine Valley,Colorado,P001001,1256
0816465,Comanche Creek,Colorado,P001001,369
0816495,Commerce City,Colorado,P001001,45913
0816715,Conejos,Colorado,P001001,58
0817150,Copper Mountain,Colorado,P001001,385
0817375,Cortez,Colorado,P001001,8482
0817485,Cotopaxi,Colorado,P001001,47
0817760,Craig,Colorado,P001001,9464
0817925,Crawford,Colorado,P001001,431
0818310,Crested Butte,Colorado,P001001,1487
0818420,Crestone,Colorado,P001001,127
0818530,Cripple Creek,Colorado,P001001,1189
0818585,Crisman,Colorado,P001001,186
0818640,Crook,Colorado,P001001,110
0818750,Crowley,Colorado,P001001,176
0819080,Dacono,Colorado,P001001,4152
0819150,Dakota Ridge,Colorado,P001001,32005
0819355,De Beque,Colorado,P001001,504
0819630,Deer Trail,Colorado,P001001,546
0819795,Del Norte,Colorado,P001001,1686
0819850,Delta,Colorado,P001001,8915
0820000,Denver,Colorado,P001001,600158
0820275,Derby,Colorado,P001001,7685
0820440,Dillon,Colorado,P001001,904
0820495,Dinosaur,Colorado,P001001,339
0820605,Divide,Colorado,P001001,127
0820770,Dolores,Colorado,P001001,936
0821155,Dotsero,Colorado,P001001,705
0821265,Dove Creek,Colorado,P001001,735
0821330,Dove Valley,Colorado,P001001,5243
0821390,Downieville-Lawson-Dumont,Colorado,P001001,594
0822035,Durango,Colorado,P001001,16887
0822145,Eads,Colorado,P001001,609
0822200,Eagle,Colorado,P001001,6508
0822575,East Pleasant View,Colorado,P001001,356
0822860,Eaton,Colorado,P001001,4365
0823025,Eckley,Colorado,P001001,257
0823135,Edgewater,Colorado,P001001,5170
0823300,Edwards,Colorado,P001001,10266
0823520,Elbert,Colorado,P001001,230
0823575,Eldora,Colorado,P001001,142
0823630,Eldorado Springs,Colorado,P001001,585
0823740,Elizabeth,Colorado,P001001,1358
0823795,El Jebel,Colorado,P001001,3801
0824235,Ellicott,Colorado,P001001,1131
0824290,El Moro,Colorado,P001001,221
0824620,Empire,Colorado,P001001,282
0824785,Englewood,Colorado,P001001,30255
0824950,Erie,Colorado,P001001,18135
0825115,Estes Park,Colorado,P001001,5858
0825280,Evans,Colorado,P001001,18537
0825390,Evergreen,Colorado,P001001,9038
0825550,Fairmount,Colorado,P001001,7559
0825610,Fairplay,Colorado,P001001,679
0826270,Federal Heights,Colorado,P001001,11467
0826600,Firestone,Colorado,P001001,10147
0826765,Flagler,Colorado,P001001,561
0826875,Fleming,Colorado,P001001,408
0827040,Florence,Colorado,P001001,3881
0827095,Florissant,Colorado,P001001,104
0827175,Floyd Hill,Colorado,P001001,998
0827370,Fort Carson,Colorado,P001001,13813
0827425,Fort Collins,Colorado,P001001,143986
0827535,Fort Garland,Colorado,P001001,433
0827700,Fort Lupton,Colorado,P001001,7377
0827810,Fort Morgan,Colorado,P001001,11315
0827865,Fountain,Colorado,P001001,25846
0827975,Fowler,Colorado,P001001,1182
0828105,Foxfield,Colorado,P001001,685
0828250,Franktown,Colorado,P001001,395
0828305,Fraser,Colorado,P001001,1224
0828360,Frederick,Colorado,P001001,8679
0828690,Frisco,Colorado,P001001,2683
0828745,Fruita,Colorado,P001001,12646
0828800,Fruitvale,Colorado,P001001,7675
0828830,Fulford,Colorado,P001001,2
0829185,Garden City,Colorado,P001001,234
0829295,Garfield,Colorado,P001001,15
0829625,Genesee,Colorado,P001001,3609
0829680,Genoa,Colorado,P001001,139
0829735,Georgetown,Colorado,P001001,1034
0829845,Gerrard,Colorado,P001001,278
0829955,Gilcrest,Colorado,P001001,1034
0830340,Glendale,Colorado,P001001,4184
0830350,Glendale,Colorado,P001001,69
0830420,Gleneagle,Colorado,P001001,6611
0830780,Glenwood Springs,Colorado,P001001,9614
0830835,Golden,Colorado,P001001,18867
0830890,Goldfield,Colorado,P001001,49
0830945,Gold Hill,Colorado,P001001,230
0831550,Granada,Colorado,P001001,517
0831605,Granby,Colorado,P001001,1864
0831660,Grand Junction,Colorado,P001001,58566
0831715,Grand Lake,Colorado,P001001,471
0831935,Grand View Estates,Colorado,P001001,528
0832155,Greeley,Colorado,P001001,92889
0832650,Green Mountain Falls,Colorado,P001001,640
0833035,Greenwood Village,Colorado,P001001,13925
0833310,Grover,Colorado,P001001,137
0833420,Guffey,Colorado,P001001,98
0833502,Gunbarrel,Colorado,P001001,9263
0833640,Gunnison,Colorado,P001001,5854
0833695,Gypsum,Colorado,P001001,6477
0834520,Hartman,Colorado,P001001,81
0834685,Hasty,Colorado,P001001,144
0834740,Haswell,Colorado,P001001,68
0834960,Haxtun,Colorado,P001001,946
0835070,Hayden,Colorado,P001001,1810
0835400,Heeney,Colorado,P001001,76
0835860,Hidden Lake,Colorado,P001001,31
0836410,Highlands Ranch,Colorado,P001001,96713
0836610,Hillrose,Colorado,P001001,264
0836940,Hoehne,Colorado,P001001,111
0837215,Holly,Colorado,P001001,802
0837220,Holly Hills,Colorado,P001001,2521
0837270,Holyoke,Colorado,P001001,2313
0837380,Hooper,Colorado,P001001,103
0837545,Hotchkiss,Colorado,P001001,944
0837600,Hot Sulphur Springs,Colorado,P001001,663
0837655,Howard,Colorado,P001001,723
0837820,Hudson,Colorado,P001001,2356
0837875,Hugo,Colorado,P001001,730
0838370,Idaho Springs,Colorado,P001001,1717
0838425,Idalia,Colorado,P001001,88
0838480,Idledale,Colorado,P001001,252
0838535,Ignacio,Colorado,P001001,697
0838590,Iliff,Colorado,P001001,266
0838810,Indian Hills,Colorado,P001001,1280
0838910,Inverness,Colorado,P001001,1532
0839160,Jackson Lake,Colorado,P001001,154
0839195,Jamestown,Colorado,P001001,274
0839250,Jansen,Colorado,P001001,112
0839745,Joes,Colorado,P001001,80
0839800,Johnson Village,Colorado,P001001,246
0839855,Johnstown,Colorado,P001001,9887
0839965,Julesburg,Colorado,P001001,1225
0840185,Keenesburg,Colorado,P001001,1127
0840377,Ken Caryl,Colorado,P001001,32438
0840515,Kersey,Colorado,P001001,1454
0840550,Keystone,Colorado,P001001,1079
0840570,Kim,Colorado,P001001,74
0840790,Kiowa,Colorado,P001001,723
0840900,Kirk,Colorado,P001001,59
0841010,Kit Carson,Colorado,P001001,233
0841065,Kittredge,Colorado,P001001,1304
0841560,Kremmling,Colorado,P001001,1444
0841835,Lafayette,Colorado,P001001,24453
0842000,Laird,Colorado,P001001,47
0842055,La Jara,Colorado,P001001,818
0842110,La Junta,Colorado,P001001,7077
0842165,La Junta Gardens,Colorado,P001001,153
0842330,Lake City,Colorado,P001001,408
0842495,Lakeside,Colorado,P001001,8
0843000,Lakewood,Colorado,P001001,142980
0843110,Lamar,Colorado,P001001,7804
0843220,Laporte,Colorado,P001001,2450
0843550,Larkspur,Colorado,P001001,183
0843605,La Salle,Colorado,P001001,1955
0843660,Las Animas,Colorado,P001001,2410
0844100,La Veta,Colorado,P001001,800
0844270,Lazy Acres,Colorado,P001001,920
0844320,Leadville,Colorado,P001001,2602
0844375,Leadville North,Colorado,P001001,1794
0844595,Lewis,Colorado,P001001,302
0844695,Leyner,Colorado,P001001,29
0844980,Limon,Colorado,P001001,1880
0845145,Lincoln Park,Colorado,P001001,3546
0845255,Littleton,Colorado,P001001,41737
0845530,Lochbuie,Colorado,P001001,4726
0845680,Loghill Village,Colorado,P001001,521
0845695,Log Lane Village,Colorado,P001001,873
0845750,Loma,Colorado,P001001,1293
0845955,Lone Tree,Colorado,P001001,10218
0845970,Longmont,Colorado,P001001,86270
0846355,Louisville,Colorado,P001001,18376
0846410,Louviers,Colorado,P001001,269
0846465,Loveland,Colorado,P001001,66859
0847015,Lynn,Colorado,P001001,12
0847070,Lyons,Colorado,P001001,2033
0847345,McCoy,Colorado,P001001,24
0848060,Manassa,Colorado,P001001,991
0848115,Mancos,Colorado,P001001,1336
0848445,Manitou Springs,Colorado,P001001,4992
0848500,Manzanola,Colorado,P001001,434
0848555,Marble,Colorado,P001001,131
0849325,Maybell,Colorado,P001001,72
0849490,Maysville,Colorado,P001001,135
0849600,Mead,Colorado,P001001,3405
0849875,Meeker,Colorado,P001001,2475
0850012,Meridian,Colorado,P001001,2970
0850040,Merino,Colorado,P001001,284
0850380,Midland,Colorado,P001001,156
0850480,Milliken,Colorado,P001001,5610
0850920,Minturn,Colorado,P001001,1027
0851250,Moffat,Colorado,P001001,116
0851635,Monte Vista,Colorado,P001001,4444
0851690,Montezuma,Colorado,P001001,65
0851745,Montrose,Colorado,P001001,19132
0851800,Monument,Colorado,P001001,5530
0851975,Morgan Heights,Colorado,P001001,266
0852075,Morrison,Colorado,P001001,428
0852210,Mountain Meadows,Colorado,P001001,274
0852350,Mountain View,Colorado,P001001,507
0852550,Mountain Village,Colorado,P001001,1320
0852570,Mount Crested Butte,Colorado,P001001,801
0852820,Mulford,Colorado,P001001,174
0853120,Naturita,Colorado,P001001,546
0853175,Nederland,Colorado,P001001,1445
0853395,New Castle,Colorado,P001001,4518
0853780,Niwot,Colorado,P001001,4006
0853875,No Name,Colorado,P001001,123
0853945,Norrie,Colorado,P001001,7
0854330,Northglenn,Colorado,P001001,35789
0854495,North La Junta,Colorado,P001001,512
0854750,North Washington,Colorado,P001001,484
0854880,Norwood,Colorado,P001001,518
0854935,Nucla,Colorado,P001001,711
0855045,Nunn,Colorado,P001001,416
0855155,Oak Creek,Colorado,P001001,884
0855540,Olathe,Colorado,P001001,1849
0855705,Olney Springs,Colorado,P001001,345
0855870,Ophir,Colorado,P001001,159
0855925,Orchard,Colorado,P001001,90
0855980,Orchard City,Colorado,P001001,3119
0856035,Orchard Mesa,Colorado,P001001,6836
0856145,Ordway,Colorado,P001001,1080
0856365,Otis,Colorado,P001001,475
0856420,Ouray,Colorado,P001001,1000
0856475,Ovid,Colorado,P001001,318
0856695,Padroni,Colorado,P001001,76
0856860,Pagosa Springs,Colorado,P001001,1727
0856970,Palisade,Colorado,P001001,2692
0857025,Palmer Lake,Colorado,P001001,2420
0857245,Paoli,Colorado,P001001,34
0857300,Paonia,Colorado,P001001,1451
0857400,Parachute,Colorado,P001001,1085
0857445,Paragon Estates,Colorado,P001001,928
0857630,Parker,Colorado,P001001,45297
0857850,Parshall,Colorado,P001001,47
0858235,Peetz,Colorado,P001001,238
0858400,Penrose,Colorado,P001001,3582
0858510,Peoria,Colorado,P001001,163
0858592,Perry Park,Colorado,P001001,1646
0858675,Peyton,Colorado,P001001,250
0858758,Phippsburg,Colorado,P001001,204
0858960,Piedra,Colorado,P001001,28
0859005,Pierce,Colorado,P001001,834
0859240,Pine Brook Hill,Colorado,P001001,983
0859830,Pitkin,Colorado,P001001,66
0860160,Platteville,Colorado,P001001,2485
0860600,Poncha Springs,Colorado,P001001,737
0860655,Ponderosa Park,Colorado,P001001,3232
0860765,Portland,Colorado,P001001,135
0861315,Pritchett,Colorado,P001001,140
0862000,Pueblo,Colorado,P001001,106595
0862220,Pueblo West,Colorado,P001001,29637
0862660,Ramah,Colorado,P001001,123
0862880,Rangely,Colorado,P001001,2365
0863045,Raymer (New Raymer),Colorado,P001001,96
0863265,Red Cliff,Colorado,P001001,267
0863320,Red Feather Lakes,Colorado,P001001,343
0863375,Redlands,Colorado,P001001,8685
0863650,Redstone,Colorado,P001001,130
0863705,Redvale,Colorado,P001001,236
0864090,Rico,Colorado,P001001,265
0864200,Ridgway,Colorado,P001001,924
0864255,Rifle,Colorado,P001001,9172
0864870,Rock Creek Park,Colorado,P001001,58
0864970,Rockvale,Colorado,P001001,487
0865190,Rocky Ford,Colorado,P001001,3957
0865685,Rollinsville,Colorado,P001001,181
0865740,Romeo,Colorado,P001001,404
0866197,Roxborough Park,Colorado,P001001,9099
0866895,Rye,Colorado,P001001,153
0866995,Saddle Ridge,Colorado,P001001,56
0867005,Saguache,Colorado,P001001,485
0867040,St. Ann Highlands,Colorado,P001001,288
0867142,St. Mary's,Colorado,P001001,283
0867280,Salida,Colorado,P001001,5236
0867445,Salt Creek,Colorado,P001001,587
0867500,San Acacio,Colorado,P001001,40
0867830,Sanford,Colorado,P001001,879
0868105,San Luis,Colorado,P001001,629
0868655,Sawpit,Colorado,P001001,40
0868847,Security-Widefield,Colorado,P001001,32882
0868875,Sedalia,Colorado,P001001,206
0868930,Sedgwick,Colorado,P001001,146
0868985,Segundo,Colorado,P001001,98
0869040,Seibert,Colorado,P001001,181
0869110,Seven Hills,Colorado,P001001,121
0869150,Severance,Colorado,P001001,3165
0869480,Shaw Heights,Colorado,P001001,5116
0869645,Sheridan,Colorado,P001001,5664
0869700,Sheridan Lake,Colorado,P001001,88
0869810,Sherrelwood,Colorado,P001001,18287
0870195,Silt,Colorado,P001001,2930
0870250,Silver Cliff,Colorado,P001001,587
0870360,Silver Plume,Colorado,P001001,170
0870525,Silverthorne,Colorado,P001001,3887
0870580,Silverton,Colorado,P001001,637
0870635,Simla,Colorado,P001001,618
0871625,Smeltertown,Colorado,P001001,120
0871755,Snowmass Village,Colorado,P001001,2826
0871790,Snyder,Colorado,P001001,132
0872320,Southern Ute,Colorado,P001001,177
0872395,South Fork,Colorado,P001001,386
0873330,Springfield,Colorado,P001001,1451
0873715,Starkville,Colorado,P001001,59
0873825,Steamboat Springs,Colorado,P001001,12088
0873935,Sterling,Colorado,P001001,14777
0874080,Stonegate,Colorado,P001001,8962
0874275,Stonewall Gap,Colorado,P001001,67
0874375,Strasburg,Colorado,P001001,2447
0874430,Stratmoor,Colorado,P001001,6900
0874485,Stratton,Colorado,P001001,658
0874815,Sugar City,Colorado,P001001,258
0874980,Sugarloaf,Colorado,P001001,261
0875585,Sunshine,Colorado,P001001,230
0875640,Superior,Colorado,P001001,12483
0875970,Swink,Colorado,P001001,617
0876190,Tabernash,Colorado,P001001,417
0876325,Tall Timber,Colorado,P001001,208
0876795,Telluride,Colorado,P001001,2325
0877235,The Pinery,Colorado,P001001,10517
0877290,Thornton,Colorado,P001001,118772
0877510,Timnath,Colorado,P001001,625
0877757,Todd Creek,Colorado,P001001,3768
0878280,Towaoc,Colorado,P001001,1087
0878335,Towner,Colorado,P001001,22
0878345,Trail Side,Colorado,P001001,59
0878610,Trinidad,Colorado,P001001,9096
0879100,Twin Lakes (Adams County),Colorado,P001001,6101
0879105,Twin Lakes (Lake County),Colorado,P001001,171
0879270,Two Buttes,Colorado,P001001,43
0879785,Upper Bear Creek,Colorado,P001001,1059
0880040,Vail,Colorado,P001001,5305
0880095,Valdez,Colorado,P001001,47
0880370,Valmont,Colorado,P001001,59
0880755,Vernon,Colorado,P001001,29
0880865,Victor,Colorado,P001001,397
0881030,Vilas,Colorado,P001001,114
0881305,Vineland,Colorado,P001001,251
0881690,Vona,Colorado,P001001,106
0882130,Walden,Colorado,P001001,608
0882350,Walsenburg,Colorado,P001001,3068
0882460,Walsh,Colorado,P001001,546
0882735,Ward,Colorado,P001001,150
0882905,Watkins,Colorado,P001001,653
0883120,Welby,Colorado,P001001,14846
0883175,Weldona,Colorado,P001001,139
0883230,Wellington,Colorado,P001001,6289
0883450,Westcliffe,Colorado,P001001,568
0883500,Westcreek,Colorado,P001001,129
0883835,Westminster,Colorado,P001001,106114
0884000,Weston,Colorado,P001001,55
0884042,West Pleasant View,Colorado,P001001,3840
0884440,Wheat Ridge,Colorado,P001001,30166
0884770,Wiggins,Colorado,P001001,893
0885045,Wiley,Colorado,P001001,405
0885155,Williamsburg,Colorado,P001001,662
0885485,Windsor,Colorado,P001001,18644
0885705,Winter Park,Colorado,P001001,999
0885760,Wolcott,Colorado,P001001,15
0886090,Woodland Park,Colorado,P001001,7200
0886117,Woodmoor,Colorado,P001001,8741
0886200,Woody Creek,Colorado,P001001,263
0886310,Wray,Colorado,P001001,2342
0886475,Yampa,Colorado,P001001,429
0886750,Yuma,Colorado,P001001,3524
1900190,Ackley,Iowa,P001001,1589
1900235,Ackworth,Iowa,P001001,83
1900370,Adair,Iowa,P001001,781
1900505,Adel,Iowa,P001001,3682
1900595,Afton,Iowa,P001001,845
1900640,Agency,Iowa,P001001,638
1900730,Ainsworth,Iowa,P001001,567
1900775,Akron,Iowa,P001001,1486
1900865,Albert City,Iowa,P001001,699
1900910,Albia,Iowa,P001001,3766
1900955,Albion,Iowa,P001001,505
1901000,Alburnett,Iowa,P001001,673
1901045,Alden,Iowa,P001001,787
1901090,Alexander,Iowa,P001001,175
1901135,Algona,Iowa,P001001,5560
1901180,Alleman,Iowa,P001001,432
1901270,Allerton,Iowa,P001001,501
1901315,Allison,Iowa,P001001,1029
1901495,Alta,Iowa,P001001,1883
1901540,Alta Vista,Iowa,P001001,266
1901585,Alton,Iowa,P001001,1216
1901630,Altoona,Iowa,P001001,14541
1901675,Alvord,Iowa,P001001,196
1901720,Amana,Iowa,P001001,442
1901855,Ames,Iowa,P001001,58965
1901990,Anamosa,Iowa,P001001,5533
1902035,Anderson,Iowa,P001001,65
1902080,Andover,Iowa,P001001,103
1902125,Andrew,Iowa,P001001,434
1902260,Anita,Iowa,P001001,972
1902305,Ankeny,Iowa,P001001,45582
1902350,Anthon,Iowa,P001001,565
1902395,Aplington,Iowa,P001001,1128
1902485,Arcadia,Iowa,P001001,484
1902530,Archer,Iowa,P001001,131
1902620,Aredale,Iowa,P001001,74
1902755,Arion,Iowa,P001001,108
1902800,Arispe,Iowa,P001001,100
1902845,Arlington,Iowa,P001001,429
1902935,Armstrong,Iowa,P001001,926
1903025,Arnolds Park,Iowa,P001001,1126
1903115,Arthur,Iowa,P001001,206
1903160,Asbury,Iowa,P001001,4170
1903295,Ashton,Iowa,P001001,458
1903340,Aspinwall,Iowa,P001001,40
1903385,Atalissa,Iowa,P001001,311
1903430,Athelstan,Iowa,P001001,19
1903475,Atkins,Iowa,P001001,1670
1903520,Atlantic,Iowa,P001001,7112
1903610,Auburn,Iowa,P001001,322
1903655,Audubon,Iowa,P001001,2176
1903745,Aurelia,Iowa,P001001,1036
1903835,Aurora,Iowa,P001001,185
1903970,Avoca,Iowa,P001001,1506
1904105,Ayrshire,Iowa,P001001,143
1904195,Badger,Iowa,P001001,561
1904240,Bagley,Iowa,P001001,303
1904330,Baldwin,Iowa,P001001,109
1904375,Balltown,Iowa,P001001,68
1904420,Bancroft,Iowa,P001001,732
1904510,Bankston,Iowa,P001001,25
1904555,Barnes City,Iowa,P001001,176
1904645,Barnum,Iowa,P001001,191
1904735,Bartlett,Iowa,P001001,50
1904780,Bassett,Iowa,P001001,66
1904825,Batavia,Iowa,P001001,499
1904870,Battle Creek,Iowa,P001001,713
1904915,Baxter,Iowa,P001001,1101
1904960,Bayard,Iowa,P001001,471
1905050,Beacon,Iowa,P001001,494
1905095,Beaconsfield,Iowa,P001001,15
1905140,Beaman,Iowa,P001001,191
1905185,Beaver,Iowa,P001001,48
1905200,Beaverdale,Iowa,P001001,952
1905365,Bedford,Iowa,P001001,1440
1905590,Belle Plaine,Iowa,P001001,2534
1905635,Bellevue,Iowa,P001001,2191
1905680,Belmond,Iowa,P001001,2376
1905770,Bennett,Iowa,P001001,405
1905870,Bentley,Iowa,P001001,118
1905905,Benton,Iowa,P001001,41
1906040,Berkley,Iowa,P001001,32
1906085,Bernard,Iowa,P001001,112
1906175,Bertram,Iowa,P001001,294
1906355,Bettendorf,Iowa,P001001,33217
1906490,Bevington,Iowa,P001001,63
1906625,Birmingham,Iowa,P001001,448
1906760,Blairsburg,Iowa,P001001,215
1906805,Blairstown,Iowa,P001001,692
1906850,Blakesburg,Iowa,P001001,296
1906895,Blanchard,Iowa,P001001,38
1906940,Blencoe,Iowa,P001001,224
1906985,Blockton,Iowa,P001001,192
1907030,Bloomfield,Iowa,P001001,2640
1907075,Blue Grass,Iowa,P001001,1452
1907210,Bode,Iowa,P001001,302
1907255,Bolan,Iowa,P001001,33
1907345,Bonaparte,Iowa,P001001,433
1907390,Bondurant,Iowa,P001001,3860
1907480,Boone,Iowa,P001001,12661
1907660,Bouton,Iowa,P001001,129
1907750,Boxholm,Iowa,P001001,195
1907840,Boyden,Iowa,P001001,707
1907930,Braddyville,Iowa,P001001,159
1908020,Bradford,Iowa,P001001,99
1908065,Bradgate,Iowa,P001001,86
1908155,Brandon,Iowa,P001001,309
1908200,Brayton,Iowa,P001001,128
1908290,Breda,Iowa,P001001,483
1908425,Bridgewater,Iowa,P001001,182
1908470,Brighton,Iowa,P001001,652
1908560,Bristow,Iowa,P001001,160
1908605,Britt,Iowa,P001001,2069
1908650,Bronson,Iowa,P001001,322
1908695,Brooklyn,Iowa,P001001,1468
1908875,Brunsville,Iowa,P001001,151
1909100,Buckeye,Iowa,P001001,108
1909145,Buck Grove,Iowa,P001001,43
1909235,Buffalo,Iowa,P001001,1270
1909280,Buffalo Center,Iowa,P001001,905
1909415,Burchinal,Iowa,P001001,40
1909550,Burlington,Iowa,P001001,25663
1909640,Burr Oak,Iowa,P001001,166
1909685,Burt,Iowa,P001001,533
1909730,Bussey,Iowa,P001001,422
1909820,Calamus,Iowa,P001001,439
1909910,California Junction,Iowa,P001001,85
1909955,Callender,Iowa,P001001,376
1910045,Calmar,Iowa,P001001,978
1910090,Calumet,Iowa,P001001,170
1910135,Camanche,Iowa,P001001,4448
1910225,Cambridge,Iowa,P001001,827
1910450,Cantril,Iowa,P001001,222
1910585,Carbon,Iowa,P001001,34
1910765,Carlisle,Iowa,P001001,3876
1911035,Carpenter,Iowa,P001001,109
1911080,Carroll,Iowa,P001001,10103
1911170,Carson,Iowa,P001001,812
1911215,Carter Lake,Iowa,P001001,3785
1911305,Cascade,Iowa,P001001,2159
1911395,Casey,Iowa,P001001,426
1911485,Castalia,Iowa,P001001,173
1911530,Castana,Iowa,P001001,147
1911755,Cedar Falls,Iowa,P001001,39260
1912000,Cedar Rapids,Iowa,P001001,126326
1912225,Center Junction,Iowa,P001001,111
1912270,Center Point,Iowa,P001001,2421
1912315,Centerville,Iowa,P001001,5528
1912495,Central City,Iowa,P001001,1257
1912630,Centralia,Iowa,P001001,134
1912675,Chapin,Iowa,P001001,87
1912720,Chariton,Iowa,P001001,4321
1912765,Charles City,Iowa,P001001,7652
1912855,Charlotte,Iowa,P001001,394
1912900,Charter Oak,Iowa,P001001,502
1912945,Chatsworth,Iowa,P001001,79
1912990,Chelsea,Iowa,P001001,267
1913080,Cherokee,Iowa,P001001,5253
1913125,Chester,Iowa,P001001,127
1913215,Chillicothe,Iowa,P001001,97
1913350,Churdan,Iowa,P001001,386
1913395,Cincinnati,Iowa,P001001,357
1913485,Clare,Iowa,P001001,146
1913530,Clarence,Iowa,P001001,974
1913575,Clarinda,Iowa,P001001,5572
1913620,Clarion,Iowa,P001001,2850
1913755,Clarksville,Iowa,P001001,1439
1913845,Clayton,Iowa,P001001,43
1913980,Clearfield,Iowa,P001001,363
1914025,Clear Lake,Iowa,P001001,7777
1914115,Cleghorn,Iowa,P001001,240
1914160,Clemons,Iowa,P001001,148
1914250,Clermont,Iowa,P001001,632
1914385,Climbing Hill,Iowa,P001001,97
1914430,Clinton,Iowa,P001001,26885
1914475,Clio,Iowa,P001001,80
1914520,Clive,Iowa,P001001,15447
1914655,Clutier,Iowa,P001001,213
1914835,Coalville,Iowa,P001001,610
1914880,Coburg,Iowa,P001001,42
1914925,Coggon,Iowa,P001001,658
1914970,Coin,Iowa,P001001,193
1915015,Colesburg,Iowa,P001001,404
1915060,Colfax,Iowa,P001001,2093
1915105,College Springs,Iowa,P001001,214
1915195,Collins,Iowa,P001001,495
1915240,Colo,Iowa,P001001,876
1915375,Columbus City,Iowa,P001001,391
1915420,Columbus Junction,Iowa,P001001,1899
1915465,Colwell,Iowa,P001001,73
1915645,Conesville,Iowa,P001001,432
1915825,Conrad,Iowa,P001001,1108
1915870,Conroy,Iowa,P001001,259
1915960,Conway,Iowa,P001001,41
1916050,Coon Rapids,Iowa,P001001,1305
1916140,Coppock,Iowa,P001001,47
1916230,Coralville,Iowa,P001001,18907
1916320,Corley,Iowa,P001001,26
1916500,Corning,Iowa,P001001,1635
1916545,Correctionville,Iowa,P001001,821
1916590,Corwith,Iowa,P001001,309
