Real Property Class,Year of Year,County Name,Municipality,Re Class Name2,Assessed Value
Residential,2005,CLARK,10231 GREENWOOD (C),Residential,25861400
Residential,2005,JUNEAU,29221 ELROY (C),Residential,30416300
Residential,2005,BAYFIELD,04201 ASHLAND (C),Residential,0
Residential,2005,CHIPPEWA,09221 EAU CLAIRE (C),Residential,72404500
Residential,2005,GREEN LAKE,24231 GREEN LAKE (C),Residential,112963300
Residential,2005,CLARK,10246 LOYAL (C),Residential,29333700
Residential,2005,EAU CLAIRE,18202 AUGUSTA (C),Residential,33757300
Residential,2005,JUNEAU,29251 MAUSTON (C),Residential,93868525
Residential,2005,MANITOWOC,36241 KIEL (C),Residential,127285000
Residential,2005,CHIPPEWA,09211 CHIPPEWA FALLS (C),Residential,406685700
Residential,2012,BAYFIELD,04022 HUGHES (T),Residential,56427500
Residential,2013,CALUMET,08010 HARRISON (T),Residential,293611700
Residential,2015,CRAWFORD,12016 SCOTT (T),Residential,15541400
Residential,2003,CHIPPEWA,09002 ANSON (T),Residential,86366900
Residential,2003,DUNN,17042 WESTON (T),Residential,12119400
Residential,2003,FLORENCE,19002 AURORA (T),Residential,29627200
Residential,2003,IOWA,25028 WYOMING (T),Residential,26358100
Residential,2003,JEFFERSON,28024 PALMYRA (T),Residential,76286400
Residential,2003,JUNEAU,29004 CLEARFIELD (T),Residential,22726800
Residential,2003,MARATHON,37020 EAU PLEINE (T),Residential,20706700
Residential,2003,MANITOWOC,36004 CENTERVILLE (T),Residential,32698950
Residential,2003,MANITOWOC,36036 TWO RIVERS (T),Residential,99771900
Residential,2003,MARATHON,37072 RINGLE (T),Residential,52435300
Residential,2003,CHIPPEWA,09014 COLBURN (T),Residential,24639900
Residential,2003,DODGE,14028 LEROY (T),Residential,34446150
Residential,2003,DUNN,17040 TIFFANY (T),Residential,13234500
Residential,2003,FLORENCE,19008 FERN (T),Residential,25362500
Residential,2003,IRON,26016 PENCE (T),Residential,6056800
Residential,2003,JACKSON,27020 GARDEN VALLEY (T),Residential,5294600
Residential,2003,MARINETTE,38030 SILVER CLIFF (T),Residential,47175500
Residential,2003,BAYFIELD,04036 ORIENTA (T),Residential,8905900
Residential,2003,CHIPPEWA,09004 ARTHUR (T),Residential,13407300
Residential,2003,CHIPPEWA,09018 DELMAR (T),Residential,13333500
Residential,2003,CHIPPEWA,09016 COOKS VALLEY (T),Residential,14102100
Residential,2003,DANE,13010 BLUE MOUNDS (T),Residential,36193400
Residential,2003,DANE,13006 BLACK EARTH (T),Residential,32280900
Residential,2003,DODGE,14006 BURNETT (T),Residential,39498900
Residential,2003,DOUGLAS,16018 LAKESIDE (T),Residential,20977200
Residential,2003,DOUGLAS,16016 HIGHLAND (T),Residential,27379400
Residential,2003,GREEN,23002 ADAMS (T),Residential,9235800
Residential,2003,MANITOWOC,36006 COOPERSTOWN (T),Residential,47980300
Residential,2003,MARINETTE,38032 STEPHENSON (T),Residential,211808000
Residential,2003,BAYFIELD,04050 WASHBURN (T),Residential,24612200
Residential,2003,BUFFALO,06026 MONDOVI (T),Residential,7885300
Residential,2003,BURNETT,07018 MEENON (T),Residential,90066300
Residential,2003,DODGE,14008 CALAMUS (T),Residential,24535800
Residential,2003,DUNN,17038 TAINTER (T),Residential,156264900
Residential,2003,FLORENCE,19010 FLORENCE (T),Residential,136876300
Residential,2003,FLORENCE,19012 HOMESTEAD (T),Residential,20435500
Residential,2003,FOND DU LAC,20026 MARSHFIELD (T),Residential,53048400
Residential,2003,GREEN,23008 CADIZ (T),Residential,22840600
Residential,2003,LA CROSSE,32006 BURNS (T),Residential,28584600
Residential,2003,MARATHON,37024 EMMET (T),Residential,17951900
Residential,2003,MARINETTE,38034 WAGNER (T),Residential,27456700
Residential,2011,MANITOWOC,36014 KOSSUTH (T),Residential,128432400
Residential,2011,MARINETTE,38024 PESHTIGO (T),Residential,270009500
Residential,2011,ONEIDA,43002 CASSIAN (T),Residential,254483500
Residential,2011,OUTAGAMIE,44038 SEYMOUR (T),Residential,66128000
Residential,2011,ADAMS,01022 NEW HAVEN (T),Residential,33298200
Residential,2011,CLARK,10008 DEWHURST (T),Residential,90926700
Residential,2011,CLARK,10012 FOSTER (T),Residential,18430900
Residential,2011,DANE,13050 ROXBURY (T),Residential,153383400
Residential,2011,DODGE,14008 CALAMUS (T),Residential,46282500
Residential,2011,DOUGLAS,16022 OAKLAND (T),Residential,62512000
Residential,2011,DUNN,17008 ELK MOUND (T),Residential,87824100
Residential,2011,DUNN,17004 DUNN (T),Residential,69768500
Residential,2011,IOWA,25026 WALDWICK (T),Residential,20279500
Residential,2011,IOWA,25028 WYOMING (T),Residential,44405800
Residential,2011,KEWAUNEE,31010 LINCOLN (T),Residential,45900600
Residential,2011,MARQUETTE,39002 BUFFALO (T),Residential,58449600
Residential,2011,PEPIN,46004 DURAND (T),Residential,33784200
Residential,2011,BARRON,03008 BEAR LAKE (T),Residential,62023300
Residential,2011,BAYFIELD,04010 BELL (T),Residential,88973600
Residential,2011,CHIPPEWA,09016 COOKS VALLEY (T),Residential,30107700
Residential,2011,CLARK,10006 COLBY (T),Residential,15319700
Residential,2011,CLARK,10022 HEWETT (T),Residential,16409900
Residential,2011,DODGE,14038 RUBICON (T),Residential,179005100
Residential,2011,DODGE,14042 THERESA (T),Residential,55904700
Residential,2011,DOOR,15008 EGG HARBOR (T),Residential,496711200
Residential,2011,FOND DU LAC,20022 FRIENDSHIP (T),Residential,120529300
Residential,2011,IRON,26010 KNIGHT (T),Residential,17115100
Residential,2011,LA CROSSE,32010 FARMINGTON (T),Residential,88478000
Residential,2011,LA CROSSE,32024 WASHINGTON (T),Residential,17700100
Residential,2011,MONROE,41022 LEON (T),Residential,58251200
Residential,2011,BROWN,05025 LEDGEVIEW (T),Residential,499366100
Residential,2011,CLARK,10026 HOARD (T),Residential,13708600
Residential,2011,GRANT,22006 BOSCOBEL (T),Residential,14684800
Residential,2011,LAFAYETTE,33026 SEYMOUR (T),Residential,5994100
Residential,2011,MARATHON,37072 RINGLE (T),Residential,116836100
Residential,2011,MONROE,41026 LITTLE FALLS (T),Residential,64715000
Residential,2011,CHIPPEWA,09022 EDSON (T),Residential,29057400
Residential,2011,DANE,13040 MONTROSE (T),Residential,86228900
Residential,2011,DOOR,15002 BAILEYS HARBOR (T),Residential,447014200
Residential,2011,DUNN,17042 WESTON (T),Residential,21854900
Residential,2011,EAU CLAIRE,18002 BRIDGE CREEK (T),Residential,88795600
Residential,2011,GREEN LAKE,24010 MACKFORD (T),Residential,21745600
Residential,2011,BAYFIELD,04004 BARNES (T),Residential,311886800
Residential,2011,BURNETT,07028 SCOTT (T),Residential,226654500
Residential,2003,DANE,13281 STOUGHTON (C),Residential,543818800
Residential,2003,DANE,13282 SUN PRAIRIE (C),Residential,1077282700
Residential,2003,DANE,13286 VERONA (C),Residential,504716600
Residential,2003,DODGE,14206 BEAVER DAM (C),Residential,490849000
Residential,2003,DODGE,14211 COLUMBUS (C),Residential,0
Residential,2003,DODGE,14226 FOX LAKE (C),Residential,42015200
Residential,2003,DODGE,14230 HARTFORD (C),Residential,0
Residential,2003,DODGE,14236 HORICON (C),Residential,129326800
Residential,2003,DODGE,14241 JUNEAU (C),Residential,54010500
Residential,2003,DODGE,14251 MAYVILLE (C),Residential,164268200
Residential,2003,DODGE,14291 WATERTOWN (C),Residential,311890100
Residential,2003,DODGE,14292 WAUPUN (C),Residential,113329900
Residential,2003,DOOR,15281 STURGEON BAY (C),Residential,321320150
Residential,2003,DOUGLAS,16281 SUPERIOR (C),Residential,581460100
Residential,2003,DUNN,17251 MENOMONIE (C),Residential,245821400
Residential,2003,EAU CLAIRE,18201 ALTOONA (C),Residential,196702800
Residential,2003,EAU CLAIRE,18202 AUGUSTA (C),Residential,33060700
Residential,2003,EAU CLAIRE,18221 EAU CLAIRE (C),Residential,1875090050
Residential,2003,FOND DU LAC,20226 FOND DU LAC (C),Residential,1331543500
Residential,2003,FOND DU LAC,20276 RIPON (C),Residential,213209200
Residential,2003,FOND DU LAC,20292 WAUPUN (C),Residential,104554100
Residential,2003,FOREST,21211 CRANDON (C),Residential,44240200
Residential,2003,GRANT,22206 BOSCOBEL (C),Residential,60063890
Residential,2003,GRANT,22211 CUBA CITY (C),Residential,53079400
Residential,2003,GRANT,22226 FENNIMORE (C),Residential,61381900
Residential,2003,GRANT,22246 LANCASTER (C),Residential,94433050
Residential,2003,GRANT,22271 PLATTEVILLE (C),Residential,170564700
Residential,2003,GREEN,23206 BRODHEAD (C),Residential,95967400
Residential,2003,GREEN,23251 MONROE (C),Residential,337865200
Residential,2003,GREEN LAKE,24206 BERLIN (C),Residential,147413100
Residential,2003,GREEN LAKE,24231 GREEN LAKE (C),Residential,107790900
Residential,2003,GREEN LAKE,24251 MARKESAN (C),Residential,35833450
Residential,2003,GREEN LAKE,24271 PRINCETON (C),Residential,35073100
Residential,2003,IOWA,25216 DODGEVILLE (C),Residential,138588800
Residential,2003,IOWA,25251 MINERAL POINT (C),Residential,99645800
Residential,2003,IRON,26236 HURLEY (C),Residential,21129700
Residential,2003,IRON,26251 MONTREAL (C),Residential,15976600
Residential,2003,JACKSON,27206 BLACK RIVER FALLS (C),Residential,78987200
Residential,2003,JEFFERSON,28226 FORT ATKINSON (C),Residential,394755800
Residential,2003,JEFFERSON,28241 JEFFERSON (C),Residential,256523300
Residential,2003,JEFFERSON,28246 LAKE MILLS (C),Residential,196082000
Residential,2003,JEFFERSON,28290 WATERLOO (C),Residential,115875900
Residential,2003,JEFFERSON,28291 WATERTOWN (C),Residential,472104300
Residential,2003,JEFFERSON,28292 WHITEWATER (C),Residential,14668850
Residential,2003,JUNEAU,29221 ELROY (C),Residential,29184500
Residential,2003,JUNEAU,29251 MAUSTON (C),Residential,73688400
Residential,2003,JUNEAU,29261 NEW LISBON (C),Residential,29499200
Residential,2003,KENOSHA,30241 KENOSHA (C),Residential,3124764000
Residential,2003,KEWAUNEE,31201 ALGOMA (C),Residential,91239550
Residential,2003,KEWAUNEE,31241 KEWAUNEE (C),Residential,84926800
Residential,2003,LA CROSSE,32246 LA CROSSE (C),Residential,1227236100
Residential,2003,LA CROSSE,32265 ONALASKA (C),Residential,631975300
Residential,2003,LAFAYETTE,33211 CUBA CITY (C),Residential,9367900
Residential,2003,LAFAYETTE,33216 DARLINGTON (C),Residential,54543200
Residential,2003,LAFAYETTE,33281 SHULLSBURG (C),Residential,23236250
Residential,2003,LANGLADE,34201 ANTIGO (C),Residential,166695600
Residential,2003,LINCOLN,35251 MERRILL (C),Residential,247466400
Residential,2003,LINCOLN,35286 TOMAHAWK (C),Residential,120708900
Residential,2003,MANITOWOC,36241 KIEL (C),Residential,87075900
Residential,2003,MANITOWOC,36251 MANITOWOC (C),Residential,927416300
Residential,2003,MANITOWOC,36286 TWO RIVERS (C),Residential,354188000
Residential,2003,MARATHON,37201 ABBOTSFORD (C),Residential,7159000
Residential,2003,MARATHON,37211 COLBY (C),Residential,9277600
Residential,2003,MARATHON,37250 MARSHFIELD (C),Residential,13809200
Residential,2003,MARATHON,37251 MOSINEE (C),Residential,110011200
Residential,2003,MARATHON,37281 SCHOFIELD (C),Residential,72589600
Residential,2003,MARATHON,37291 WAUSAU (C),Residential,1002526100
Residential,2003,MARINETTE,38251 MARINETTE (C),Residential,216544700
Residential,2003,MARINETTE,38261 NIAGARA (C),Residential,30827600
Residential,2003,MARINETTE,38271 PESHTIGO (C),Residential,62880124
Residential,2003,MARQUETTE,39251 MONTELLO (C),Residential,51218700
Residential,2003,MILWAUKEE,40211 CUDAHY (C),Residential,597213200
Residential,2003,MILWAUKEE,40226 FRANKLIN (C),Residential,1826048400
Residential,2003,MILWAUKEE,40231 GLENDALE (C),Residential,667360400
Residential,2003,MILWAUKEE,40236 GREENFIELD (C),Residential,1566211200
Residential,2003,MILWAUKEE,40251 MILWAUKEE (C),Residential,12938633380
Residential,2003,MILWAUKEE,40265 OAK CREEK (C),Residential,1159010100
Residential,2003,MILWAUKEE,40281 SAINT FRANCIS (C),Residential,211363100
Residential,2003,MILWAUKEE,40282 SOUTH MILWAUKEE (C),Residential,787152100
Residential,2003,MILWAUKEE,40291 WAUWATOSA (C),Residential,2549258200
Residential,2003,MILWAUKEE,40292 WEST ALLIS (C),Residential,1997472300
Residential,2003,MONROE,41281 SPARTA (C),Residential,171817700
Residential,2003,MONROE,41286 TOMAH (C),Residential,189752300
Residential,2003,OCONTO,42231 GILLETT (C),Residential,24962700
Residential,2003,OCONTO,42265 OCONTO (C),Residential,105726800
Residential,2003,OCONTO,42266 OCONTO FALLS (C),Residential,74204700
Residential,2003,ONEIDA,43276 RHINELANDER (C),Residential,206411400
Residential,2003,OUTAGAMIE,44201 APPLETON (C),Residential,2174361400
Residential,2003,OUTAGAMIE,44241 KAUKAUNA (C),Residential,483792700
Residential,2003,OUTAGAMIE,44261 NEW LONDON (C),Residential,35373600
Residential,2003,OUTAGAMIE,44281 SEYMOUR (C),Residential,109727700
Residential,2003,OZAUKEE,45211 CEDARBURG (C),Residential,679812000
Residential,2003,OZAUKEE,45255 MEQUON (C),Residential,2822665700
Residential,2003,OZAUKEE,45271 PORT WASHINGTON (C),Residential,397271700
Residential,2003,PEPIN,46216 DURAND (C),Residential,44968100
Residential,2003,PIERCE,47271 PRESCOTT (C),Residential,182945400
Residential,2003,PIERCE,47276 RIVER FALLS (C),Residential,313898500
Residential,2003,POLK,48201 AMERY (C),Residential,77926900
Residential,2003,POLK,48281 SAINT CROIX FALLS (C),Residential,69442800
Residential,2003,PORTAGE,49281 STEVENS POINT (C),Residential,624468300
Residential,2008,BAYFIELD,04010 BELL (T),Residential,77755800
Residential,2008,CLARK,10056 WARNER (T),Residential,12758700
Residential,2008,CRAWFORD,12006 EASTMAN (T),Residential,21769000
Residential,2008,IOWA,25006 CLYDE (T),Residential,17864700
Residential,2008,ADAMS,01020 NEW CHESTER (T),Residential,49736300
Residential,2008,BARRON,03034 PRAIRIE FARM (T),Residential,18274400
Residential,2008,BURNETT,07028 SCOTT (T),Residential,224580600
Residential,2008,DODGE,14034 OAK GROVE (T),Residential,62109500
Residential,2008,DOOR,15010 FORESTVILLE (T),Residential,52452700
Residential,2008,MARATHON,37074 SPENCER (T),Residential,68856800
Residential,2008,BAYFIELD,04012 CABLE (T),Residential,76191300
Residential,2008,DUNN,17016 MENOMONIE (T),Residential,179689800
Residential,2008,FLORENCE,19016 TIPLER (T),Residential,14601800
Residential,2008,GREEN,23022 MOUNT PLEASANT (T),Residential,28848900
Residential,2008,BROWN,05010 EATON (T),Residential,93713100
Residential,2008,DANE,13016 CHRISTIANA (T),Residential,82916800
Residential,2008,MARATHON,37036 HAMBURG (T),Residential,27915700
Residential,2008,MARATHON,37038 HARRISON (T),Residential,9718100
Residential,2008,DANE,13014 BURKE (T),Residential,295971700
Residential,2008,DOOR,15028 WASHINGTON (T),Residential,281454500
Residential,2008,JACKSON,27020 GARDEN VALLEY (T),Residential,10942800
Residential,2008,CHIPPEWA,09032 HOWARD (T),Residential,34158000
Residential,2008,JUNEAU,29014 KILDARE (T),Residential,54892100
Residential,2008,MANITOWOC,36008 EATON (T),Residential,53696800
Residential,2008,MARATHON,37072 RINGLE (T),Residential,111468700
Residential,2008,CLARK,10004 BUTLER (T),Residential,2714200
Residential,2008,COLUMBIA,11014 FOUNTAIN PRAIRIE (T),Residential,49635200
Residential,2008,FOND DU LAC,20002 ALTO (T),Residential,40351350
Residential,2008,IRON,26002 ANDERSON (T),Residential,8611400
Residential,2008,MARINETTE,38034 WAGNER (T),Residential,53314275
Residential,2008,BUFFALO,06030 NAPLES (T),Residential,21243200
Residential,2008,CHIPPEWA,09028 HALLIE (T),Residential,6124100
Residential,2008,GREEN,23008 CADIZ (T),Residential,27329900
Residential,2008,MARATHON,37034 HALSEY (T),Residential,16236700
Residential,2008,MARATHON,37076 STETTIN (T),Residential,194257100
Residential,2009,BURNETT,07026 SAND LAKE (T),Residential,83042400
Residential,2009,CHIPPEWA,09026 GOETZ (T),Residential,27025400
Residential,2009,CLARK,10008 DEWHURST (T),Residential,90826800
Residential,2009,JUNEAU,29012 GERMANTOWN (T),Residential,333536700
Residential,2009,DANE,13012 BRISTOL (T),Residential,343969100
Residential,2009,FLORENCE,19014 LONG LAKE (T),Residential,34699900
Residential,2009,IOWA,25006 CLYDE (T),Residential,17885400
Residential,2009,LA CROSSE,32006 BURNS (T),Residential,36058600
Residential,2005,MARINETTE,38014 GROVER (T),Residential,40004100
Residential,2005,MARQUETTE,39002 BUFFALO (T),Residential,35633600
Residential,2005,MARQUETTE,39004 CRYSTAL LAKE (T),Residential,70268755
Residential,2005,MARQUETTE,39006 DOUGLAS (T),Residential,33950400
Residential,2005,MARQUETTE,39008 HARRIS (T),Residential,32348200
Residential,2005,MARQUETTE,39010 MECAN (T),Residential,60774900
Residential,2005,MARQUETTE,39012 MONTELLO (T),Residential,78970500
Residential,2005,MARQUETTE,39014 MOUNDVILLE (T),Residential,17866500
Residential,2005,MARQUETTE,39016 NESHKORO (T),Residential,55277600
Residential,2005,MARQUETTE,39018 NEWTON (T),Residential,28942600
Residential,2005,MARQUETTE,39020 OXFORD (T),Residential,51107990
Residential,2005,MARQUETTE,39022 PACKWAUKEE (T),Residential,96031800
Residential,2005,MARQUETTE,39024 SHIELDS (T),Residential,23836300
Residential,2005,MARQUETTE,39026 SPRINGFIELD (T),Residential,80001700
Residential,2005,MARQUETTE,39028 WESTFIELD (T),Residential,56367700
Residential,2005,MONROE,41002 ADRIAN (T),Residential,26998800
Residential,2005,MONROE,41004 ANGELO (T),Residential,37954000
Residential,2005,MONROE,41006 BYRON (T),Residential,28328600
Residential,2005,MONROE,41008 CLIFTON (T),Residential,9902200
Residential,2005,MONROE,41010 GLENDALE (T),Residential,6730130
Residential,2005,MONROE,41012 GRANT (T),Residential,11171100
Residential,2005,MONROE,41014 GREENFIELD (T),Residential,16729900
Residential,2005,MONROE,41016 JEFFERSON (T),Residential,6400300
Residential,2005,MONROE,41018 LA FAYETTE (T),Residential,4795500
Residential,2005,MONROE,41020 LA GRANGE (T),Residential,81445800
Residential,2005,MONROE,41022 LEON (T),Residential,30038000
Residential,2005,MONROE,41024 LINCOLN (T),Residential,33279500
Residential,2005,MONROE,41026 LITTLE FALLS (T),Residential,48981300
Residential,2005,MONROE,41028 NEW LYME (T),Residential,4515170
Residential,2005,MONROE,41030 OAKDALE (T),Residential,22971600
Residential,2005,MONROE,41032 PORTLAND (T),Residential,10755800
Residential,2005,MONROE,41034 RIDGEVILLE (T),Residential,10552100
Residential,2005,MONROE,41036 SCOTT (T),Residential,2745100
Residential,2005,MONROE,41038 SHELDON (T),Residential,6500100
Residential,2005,MONROE,41040 SPARTA (T),Residential,103800850
Residential,2005,MONROE,41042 TOMAH (T),Residential,57046000
Residential,2005,MONROE,41044 WELLINGTON (T),Residential,5971300
Residential,2005,MONROE,41046 WELLS (T),Residential,11022740
Residential,2005,MONROE,41048 WILTON (T),Residential,7940900
Residential,2005,OCONTO,42002 ABRAMS (T),Residential,96205100
Residential,2005,OCONTO,42006 BAGLEY (T),Residential,19425800
Residential,2005,OCONTO,42008 BRAZEAU (T),Residential,188420300
Residential,2005,OCONTO,42010 BREED (T),Residential,45722900
Residential,2005,OCONTO,42012 CHASE (T),Residential,113701500
Residential,2005,OCONTO,42014 DOTY (T),Residential,74144800
